"match_map_id","player_id","total_kills","total_deaths","total_assists","kill_death_ratio","total_score","damage_dealt","highest_streak","untraded_deaths","traded_deaths","untraded_kills","traded_kills","tacticals_used","lethals_used","dead_silence_time","friendly_damage","distance_traveled","average_speed","control_tiers_captured","first_blood_kills","bombs_planted","bombs_defused","sneak_defuses","aces","hp_hill_time","hp_hill_time_contested","rotation_kills"
20179,51,15,21,10,0.71,2075,2417,3,15,6,8,7,16,12,103,6,75928.875,210.0089111,4,0,,,,0,,,0
20179,98,23,14,6,1.64,2865,3055,6,11,3,19,4,13,12,0,30,59867.02734,168.2299194,7,1,,,,0,,,0
20179,572,19,17,6,1.12,2540,2287,4,15,2,12,7,16,17,0,90,64687.09766,181.2748413,10,0,,,,0,,,0
20180,42,28,30,5,0.93,5100,2988,4,19,11,17,11,21,13,95,0,82351.51563,196.496582,,0,,,,0,60,9,7
20180,51,25,35,8,0.71,3915,2412,3,23,12,10,15,30,16,117,1,84704.94531,213.0464172,,0,,,,0,34,5,1
20180,98,27,24,13,1.13,4160,3902,3,16,8,20,7,16,11,0,25,64289.84375,157.250351,,0,,,,0,45,3,6
20180,572,28,25,11,1.12,6005,3278,4,14,11,21,7,20,20,0,205,71060.3125,172.5455017,,0,,,,0,174,11,5
20177,65,25,27,11,0.93,,3247,0,,,14,11,,,,,,,,1,,,,0,74,5,1
20177,264,17,22,9,0.77,,2376,0,,,11,6,,,,,,,,0,,,,0,85,1,4
20177,428,27,26,6,1.04,,3217,0,,,19,8,,,,,,,,0,,,,0,45,9,5
20177,517,19,26,7,0.73,,2551,0,,,14,5,,,,,,,,0,,,,0,35,2,3
20178,65,6,10,2,0.6,650,900,2,7,1,4,2,3,2,54,0,51115.69531,99.02817535,,2,0,0,0,0,,,0
20178,264,2,9,2,0.22,310,541,2,6,2,0,1,9,7,0,0,34897.85938,68.74074554,,1,0,0,0,0,,,0
20178,428,5,8,0,0.63,1100,622,2,6,1,3,1,5,6,61,0,42853.37891,83.03931427,,0,4,0,0,0,,,0
20178,517,10,7,2,1.43,1070,1291,5,4,0,7,2,2,5,34,0,41741.26953,81.11853027,,1,0,0,0,0,,,0
20179,65,25,24,11,1.04,3225,3363,5,17,7,18,7,15,12,81,0,82750.89844,236.4882507,2,2,,,,0,,,0
20179,264,13,13,5,1,2180,1543,4,5,8,12,1,13,8,0,83,55442.10156,158.8964539,13,0,,,,0,,,0
20179,428,13,21,1,0.62,1550,1593,2,16,5,9,4,15,9,87,0,70255,205.8036804,8,0,,,,0,,,0
20179,517,21,19,6,1.11,3010,2629,6,15,4,17,3,5,7,0,0,60550.26953,181.2358093,11,0,,,,0,,,0
20180,65,31,30,10,1.03,4700,3260,7,22,8,18,13,14,10,98,1,87441.60938,210.3171387,,0,,,,0,25,4,5
20180,264,24,23,10,1.04,4960,2522,4,14,9,14,10,14,15,0,31,71521.45313,170.768692,,0,,,,0,101,8,0
20180,428,22,27,15,0.81,4250,2906,4,13,14,17,5,15,10,102,28,73992.78125,176.9684143,,0,,,,0,80,2,6
20180,517,37,28,12,1.32,5680,4428,5,19,9,23,14,9,9,0,51,70170.39063,170.678772,,1,,,,0,53,10,9
20207,42,27,18,7,1.5,4460,2949,7,13,5,22,5,14,14,111,0,68988.71094,179.0067596,,0,,,,0,66,2,4
20207,51,21,25,10,0.84,3115,2295,3,19,6,14,7,21,19,135,2,69504.32813,194.7030182,,0,,,,0,29,3,1
20207,98,27,19,11,1.42,4665,3827,4,9,10,20,7,11,11,0,2,59310.98828,166.8278809,,0,,,,0,69,3,6
20207,572,17,17,11,1,4095,2576,3,10,7,11,6,16,15,0,4,64934.75781,163.168457,,0,,,,0,93,1,3
20208,42,13,6,0,2.17,1350,1552,6,5,0,9,1,10,9,54,0,38239.00781,67.89221954,,5,0,0,0,0,,,0
20208,51,5,8,4,0.63,625,897,4,4,3,4,0,8,4,47,85,34427.15625,63.28068542,,1,0,0,0,0,,,0
20208,98,9,4,4,2.25,1045,1145,5,2,1,7,1,10,10,55,82,50569.59375,92.77583313,,1,0,0,0,0,,,0
20208,572,2,6,4,0.33,545,722,1,5,0,1,0,10,10,2,0,41879.67969,77.25589752,,1,2,0,0,0,,,0
20209,42,34,23,5,1.48,4050,4158,6,18,5,28,6,17,11,143,0,108716.4219,194.5618896,2,1,,,,0,,,0
20209,51,25,23,6,1.09,3200,3142,5,17,6,18,7,19,14,167,44,114223.4141,206.7627106,7,1,,,,0,,,0
20209,98,31,20,4,1.55,3330,3569,7,16,4,26,5,12,7,0,30,93985.78125,172.9128418,4,1,,,,0,,,0
20209,572,21,18,5,1.17,2760,2625,4,15,3,18,3,15,15,0,73,95420.09375,166.1363068,4,0,,,,0,,,0
20207,49,20,19,8,1.05,2830,2229,6,14,5,13,7,17,14,0,182,72090.28906,174.7435455,,0,,,,0,52,1,6
20207,269,18,22,9,0.82,4260,2732,4,15,7,15,3,16,15,0,74,62562.33594,169.5202179,,0,,,,0,93,4,2
20207,429,18,26,8,0.69,3485,2196,3,18,8,10,8,16,16,80,38,75197.32031,210.3771362,,2,,,,0,51,4,4
20207,530,23,25,7,0.92,3815,2633,4,20,5,13,10,9,11,89,1,81184.48438,208.1822968,,0,,,,0,44,0,3
20208,49,7,7,0,1,725,1008,3,3,0,4,0,10,9,68,30,52453.32031,90.52443695,,0,0,0,0,0,,,0
20208,269,4,8,1,0.5,485,722,2,6,1,2,2,10,10,0,133,31004.37891,57.23633957,,0,1,0,0,0,,,0
20208,429,9,6,2,1.5,1385,1208,3,6,0,6,2,9,8,81,0,42635.21484,73.35353088,,2,1,0,0,0,,,0
20208,530,4,8,1,0.5,555,598,2,6,1,4,0,2,4,48,0,27873.11133,46.78725433,,0,1,0,0,0,,,0
20209,49,24,25,3,0.96,3000,2575,3,19,6,18,6,23,15,0,1,117854.3984,217.0110931,5,1,,,,0,,,0
20209,269,15,28,7,0.54,1945,2426,3,24,4,14,1,16,14,0,0,102478.1406,186.5895233,1,0,,,,0,,,0
20209,429,22,29,3,0.76,2775,3090,4,21,8,19,3,13,8,157,78,109870.5313,207.9412231,3,1,,,,0,,,0
20209,530,23,29,5,0.79,2675,3050,6,26,3,15,8,16,8,141,0,113288.4922,214.7931671,1,0,,,,0,,,0
19527,66,21,15,2,1.4,3055,2478,5,12,3,16,5,7,8,0,92,39689.54688,145.1390991,,0,,,,0,58,0,3
19527,225,13,15,3,0.87,2885,1331,3,12,3,8,5,8,5,0,0,39874.74219,148.2008972,,0,,,,0,112,1,5
19527,268,24,10,6,2.4,4110,3014,8,5,5,18,6,6,8,37,1,30179.33594,108.9488831,,0,,,,0,81,1,3
19527,425,22,17,4,1.29,2535,2732,5,12,5,18,4,3,5,48,0,42485.50781,172.5778961,,0,,,,0,6,0,4
19528,66,4,8,6,0.5,800,1366,2,4,3,3,0,10,7,29,33,30140.6543,59.15427399,,1,1,0,0,0,,,0
19528,225,8,8,0,1,900,924,4,7,0,4,2,10,6,8,0,30668.48633,62.08517838,,2,3,0,0,1,,,0
19528,268,16,7,0,2.29,1400,2094,5,3,0,14,0,11,9,106,51,40964.90234,85.68870544,,1,0,0,0,0,,,0
19528,425,6,9,2,0.67,600,652,2,8,1,5,1,8,5,16,1,31858.39453,66.68817902,,0,0,0,0,0,,,0
19529,66,16,25,10,0.64,2625,2540,2,19,6,10,6,18,13,0,31,70922.47656,166.3468018,8,0,,,,0,,,0
19529,225,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,0,,,0
19529,268,35,21,8,1.67,4000,3835,5,15,6,28,7,11,10,180,1,73295.91406,164.0003967,0,1,,,,0,,,0
19529,425,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,,,0
19530,66,14,15,11,0.93,3685,1908,4,8,7,8,6,9,9,0,0,35454.87109,150.778595,,0,,,,0,106,2,2
19530,225,13,15,6,0.87,2240,1697,3,11,4,8,5,10,12,0,1,45534.89844,177.2916107,,0,,,,0,29,3,5
19530,268,30,12,7,2.5,4810,3011,6,6,6,26,4,7,9,54,0,29219.95313,122.9165726,,0,,,,0,92,2,2
19530,425,22,11,4,2,3195,2366,5,7,4,18,4,2,1,73,0,45614.63672,170.8728943,,1,,,,0,43,0,5
19531,66,8,6,1,1.33,725,946,3,2,2,6,1,6,3,30,0,24607.66992,64.42890167,,1,0,0,0,0,,,0
19531,225,1,7,2,0.14,150,232,1,4,2,1,0,7,2,31,0,34890.69141,95.22447968,,0,0,0,0,0,,,0
19531,268,3,7,1,0.43,425,525,2,6,1,3,0,8,2,23,0,32475.62305,95.37506104,,1,1,0,0,0,,,0
19531,425,5,7,3,0.71,525,842,3,3,1,3,1,6,3,61,1,45801.48828,122.1883698,,0,0,0,0,0,,,0
19527,51,12,20,5,0.6,2700,1665,2,17,3,10,2,7,4,63,0,46643.47266,177.5196838,,0,,,,0,70,1,3
19527,112,15,21,7,0.71,2530,1832,4,13,8,10,5,10,9,0,70,39738.19531,164.5948181,,0,,,,0,28,0,2
19527,222,15,20,2,0.75,2185,1808,3,17,3,10,5,8,9,0,30,46202.1875,185.846756,,1,,,,0,36,0,4
19527,266,15,19,2,0.79,1625,1657,4,13,6,11,4,8,4,36,1,46665.84375,189.313736,,0,,,,0,0,0,4
19528,51,6,10,5,0.6,925,1153,2,8,1,6,0,8,7,59,34,36588.66797,80.64447021,,1,0,0,0,0,,,0
19528,112,12,7,2,1.71,925,1637,3,5,1,6,2,10,9,69,1,45638.375,93.06365204,,2,0,0,0,0,,,0
19528,222,6,8,0,0.75,800,707,2,7,0,4,1,11,11,0,38,34495.01953,73.88085938,,1,1,1,0,0,,,0
19528,266,8,9,1,0.89,1100,1057,2,6,1,6,1,10,6,27,2,42017.41016,89.20696259,,3,3,0,0,0,,,0
19529,51,33,25,4,1.32,3975,3509,4,21,4,26,7,13,7,149,0,101072.5703,211.8800354,7,0,,,,0,,,0
19529,112,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,,,0
19529,222,20,20,7,1,2875,2496,5,17,4,16,4,10,15,0,91,73378.84375,166.7477722,11,0,,,,0,,,0
19529,266,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0
19530,51,16,20,5,0.8,2745,1901,3,16,4,10,6,3,3,50,0,45345.73047,193.6818237,,0,,,,0,27,3,5
19530,112,16,17,2,0.94,2845,1851,3,15,2,10,6,7,6,0,0,43313.125,181.0362854,,0,,,,0,57,2,3
19530,222,9,21,6,0.43,1790,1263,2,14,7,5,4,4,6,0,0,48482.01563,204.4635925,,0,,,,0,24,2,1
19530,266,12,21,6,0.57,1665,1416,3,15,6,7,5,7,7,22,0,44114.01563,190.1928406,,0,,,,0,19,1,2
19531,51,8,5,0,1.6,700,717,2,5,0,3,3,5,4,43,0,39998.66797,105.8003845,,3,0,0,0,0,,,0
19531,112,7,4,2,1.75,875,854,4,4,0,4,2,8,7,42,0,41166.42188,120.9346313,,3,0,1,0,0,,,0
19531,222,4,5,2,0.8,250,729,3,3,1,2,0,6,7,0,0,37816.01563,113.9097672,,0,0,0,0,0,,,0
19531,266,8,3,1,2.67,1125,1008,3,1,1,6,1,5,6,45,0,47918.01172,137.1889954,,0,2,0,0,0,,,0
19537,54,15,17,6,0.88,4135,1649,3,12,5,11,4,14,14,0,20,49198.15625,143.6802216,,0,,,,0,166,15,2
19537,223,20,26,5,0.77,3480,2273,5,18,8,12,8,9,15,70,0,65228.09766,194.4037018,,0,,,,0,64,10,6
19537,227,32,23,8,1.39,4125,4091,5,15,8,26,6,3,9,0,29,60064.98438,180.4497833,,0,,,,0,15,2,7
19537,430,29,25,5,1.16,4355,3054,4,18,7,18,11,9,13,96,0,65220.88672,205.0853119,,0,,,,0,38,6,8
19538,54,4,6,2,0.67,400,876,2,4,2,2,1,8,7,0,0,25552.83984,54.8543396,,0,0,0,0,0,,,0
19538,223,8,7,0,1.14,1100,952,2,5,1,6,2,8,8,0,0,31362.52539,65.7720871,,1,1,0,0,0,,,0
19538,227,12,7,1,1.71,1050,1393,4,5,0,6,4,4,6,39,0,25187.0918,56.63683701,,2,0,0,0,0,,,0
19538,430,10,6,1,1.67,1400,1383,6,4,1,6,2,7,5,35,0,37095.96094,79.33476257,,0,3,0,0,0,,,0
19539,54,25,18,1,1.39,3025,2956,7,16,2,22,2,14,16,0,89,72026.99219,168.8050995,7,0,,,,0,,,0
