team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,262,200.0692596,6,15,6,5,6,175,28,21,7,4330,19,9,3148,0,89073.70313,,,,,53,3,0,0,7,1.33
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL Hardpoint,66,159.2609711,3,16,10,14,12,0,26,26,8,4555,21,5,3445,0,60505.64063,,,,,95,1,0,0,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL Hardpoint,225,162.1530914,4,19,7,17,12,79,22,27,10,3905,16,6,2566,101,65818,,,,,83,5,0,0,3,0.81
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL Hardpoint,268,188.6953278,3,24,8,22,23,0,22,32,11,3980,18,4,3252,30,71949.90625,,,,,51,2,0,0,4,0.69
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL Hardpoint,425,169.8270721,4,18,5,12,7,149,37,23,1,5205,28,9,3542,0,74658.75781,,,,,53,1,0,0,11,1.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,66,78.39592743,4,5,2,9,6,25,6,9,3,775,4,1,993,0,50606.99219,,0,0,0,,,0,1,0,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,225,62.59529114,2,10,1,9,5,26,2,11,1,565,1,1,628,0,40486.48047,,3,0,0,,,0,1,0,0.18
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,268,91.17201996,4,5,0,10,9,66,10,7,0,1300,5,3,1455,0,59741.87109,,1,1,0,,,0,0,0,1.43
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,425,88.89334106,4,5,0,9,11,71,11,6,0,1100,9,1,1180,0,58949.59375,,0,0,0,,,0,3,0,1.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,66,170.000412,2,13,4,14,9,0,8,17,6,1610,6,2,1228,2,57253.40234,7,,,,,,0,0,0,0.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,225,233.4727173,3,19,6,16,11,85,13,26,5,1600,7,6,2100,38,75531.51563,3,,,,,,0,1,0,0.5
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,268,171.8228149,3,14,6,16,15,0,19,20,8,2655,15,4,2336,0,56596.85938,3,,,,,,0,1,0,0.95
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,425,183.785202,5,13,3,12,6,100,21,16,3,2400,15,6,2399,0,65200.15625,3,,,,,,0,1,0,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,66,192.5956573,4,19,9,13,15,0,15,28,8,3440,10,5,2050,3,75473.75781,,,,,83,4,0,0,3,0.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,225,216.530426,3,19,10,21,14,71,17,29,6,3235,11,6,2210,0,83374.36719,,,,,36,5,0,0,2,0.59
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,268,203.1645813,3,27,4,25,28,0,22,31,9,3415,12,10,3223,1,78139.67969,,,,,23,9,0,0,6,0.71
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,425,187.4257355,6,20,4,11,16,68,26,24,1,3600,15,11,2657,28,74060.23438,,,,,25,1,0,1,3,1.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
13,New York Subliners,NY,138,Boston Breach,BOS,8808,1684706400,1665871319,1,3,138,13,20232,Zarqwa Hydroelectric,CDL Hardpoint,216,250,138,13,39,Preston,Greiner,Priestahh,Zarqwa Hydroelectric,CDL Hardpoint,39,180.7365417,4,12,9,21,16,0,20,21,10,3625,12,8,2596,37,69216.10938,,,,,76,4,0,0,4,0.95
,,,,,,,,,,,,,20233,El Asilo,CDL SnD,6,1,13,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20234,Breenbergh Hotel,CDL Control,1,3,138,13,50,Matthew,Tinsley,KiSMET,Zarqwa Hydroelectric,CDL Hardpoint,50,205.8860016,5,21,6,11,15,0,23,27,6,4330,18,5,2941,3,72327.32031,,,,,74,5,0,0,6,0.85
,,,,,,,,,,,,,20235,Breenbergh Hotel,CDL Hardpoint,214,250,138,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20236,Breenbergh Hotel,CDL SnD,,,,,262,Paco,Rusiewiez,Hydra,Zarqwa Hydroelectric,CDL Hardpoint,262,201.2290497,4,18,7,12,12,100,23,25,3,3600,13,10,2351,2,77994.35938,,,,,60,6,0,0,4,0.92
,,,,,,,,,,,,,,,,,,,,532,Elliot,Ward,Wardy,Zarqwa Hydroelectric,CDL Hardpoint,532,199.5657196,4,20,4,5,15,133,22,24,4,3315,13,9,2458,0,74563.17188,,,,,14,5,0,0,4,0.92
,,,,,,,,,,,,,,,,,,,,223,Reece,Drost,Vivid,El Asilo,CDL SnD,39,111.8473969,2,4,0,5,6,40,5,4,0,600,2,2,497,0,42787.55469,,1,0,0,,,0,1,0,1.25
,,,,,,,,,,,,,,,,,,,,227,Joseph,Conley,Owakening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,528,Ben,McMellon,Beans,El Asilo,CDL SnD,50,95.71367645,5,3,0,5,6,29,7,3,2,950,6,0,1115,0,36563.34766,,1,0,0,,,0,3,0,2.33
,,,,,,,,,,,,,,,,,,,,576,Kyle,Haworth,Kremp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,262,79.12760162,4,2,0,2,0,42,7,2,0,700,5,1,537,0,29193.2168,,0,0,0,,,0,1,0,3.5
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,532,106.4723816,3,0,2,3,4,79,7,3,2,825,4,1,955,0,39804.04688,,0,0,0,,,0,1,0,2.33
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,39,172.5927429,9,16,2,17,13,0,24,18,5,2990,21,4,3030,34,75907.51563,4,,,,,,0,0,0,1.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,50,199.9058685,2,21,5,16,12,0,11,26,7,1590,6,5,2180,0,78726.375,4,,,,,,0,1,0,0.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,262,222.7862244,7,18,5,8,9,143,29,23,6,3350,22,7,3169,1,96670.04688,2,,,,,,0,0,0,1.26
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,532,218.7396088,4,17,5,16,14,173,21,22,8,2675,14,7,2891,0,93116.21875,1,,,,,,0,2,0,0.95
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,39,187.8930969,3,16,12,22,19,0,23,28,10,4080,15,8,2867,44,76664.32813,,,,,66,4,0,0,4,0.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,50,192.0475006,5,22,6,10,10,0,24,28,6,4635,13,11,3127,0,76703.26563,,,,,73,18,0,0,2,0.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,262,197.8082581,4,17,8,6,7,95,29,25,9,4510,20,9,3015,0,85097.30469,,,,,51,14,0,0,6,1.16
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,532,208.9198914,4,18,7,13,16,160,28,25,4,4390,18,10,3146,95,90368.32813,,,,,54,6,0,1,5,1.12
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,223,221.9589996,3,18,9,19,20,93,26,27,7,4025,18,8,2907,0,87687.16406,,,,,40,5,0,0,4,0.96
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,227,154.515152,6,12,4,15,14,0,24,16,9,4040,18,6,3411,69,62168.72266,,,,,68,6,0,0,5,1.5
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,528,178.553894,4,12,9,19,18,0,28,21,6,4725,20,8,2939,54,64598.9375,,,,,85,5,0,1,4,1.33
,,,,,,,,,,,,,,,,,,,,,,,,Zarqwa Hydroelectric,CDL Hardpoint,576,198.5215759,4,14,10,18,20,98,19,24,8,3895,15,4,2329,0,82143.16406,,,,,87,4,0,0,5,0.79
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,223,68.30644989,0,3,2,3,6,1,1,7,1,175,1,0,244,0,25123.61133,,0,0,0,,,0,0,0,0.14
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,227,81.925354,1,6,0,5,4,29,2,7,1,225,1,1,627,0,29450.12891,,0,0,0,,,0,0,0,0.29
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,528,112.3926163,4,4,0,5,3,59,5,5,0,500,4,0,644,0,40992.60938,,0,0,0,,,1,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,El Asilo,CDL SnD,576,78.09898376,2,4,2,4,6,41,4,7,1,450,3,1,676,0,29340.83984,,0,0,0,,,0,0,0,0.57
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,223,191.893692,9,12,8,12,10,123,25,20,7,3000,21,4,2653,1,85285.92188,2,,,,,,0,1,0,1.25
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,227,166.8920746,5,14,4,14,7,0,18,18,6,2475,14,4,3000,32,66765.04688,6,,,,,,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,528,167.7592468,5,17,4,17,12,0,26,21,5,3175,23,3,2922,79,71538.64063,6,,,,,,0,0,0,1.24
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,576,197.932312,6,20,7,21,17,166,20,26,7,2550,14,6,2597,0,78387.39063,1,,,,,,0,0,0,0.77
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,223,207.7662811,4,20,12,24,20,94,20,32,17,3835,15,5,2404,81,80354.00781,,,,,56,5,0,0,3,0.63
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,227,162.3782501,6,16,8,17,15,0,39,24,12,6530,26,13,4568,140,61353.62109,,,,,75,8,0,0,4,1.63
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,528,177.7980194,5,16,12,21,16,0,15,28,14,3605,10,5,2421,31,64098.15625,,,,,86,18,0,0,4,0.54
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,576,168.2467194,8,14,6,16,13,176,32,20,7,5410,22,10,3515,0,69554.82031,,,,,86,15,0,0,5,1.6
team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
69,Los Angeles Thieves,LAT,15,Vegas Legion,LV,8657,1670022000,1664399847,3,1,69,15,19522,Breenbergh Hotel,CDL Hardpoint,250,204,69,15,38,Kenneth,Williams,Kenny,Breenbergh Hotel,CDL Hardpoint,38,190.5271301,5,14,7,8,14,0,22,21,8,3535,17,5,2852,31,65563.78125,,,,,36,6,0,0,3,1.05
,,,,,,,,,,,,,19523,Al Bagra Fortress,CDL SnD,2,6,15,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19524,Breenbergh Hotel,CDL Control,3,0,69,15,70,Sam,Larew,Octane,Breenbergh Hotel,CDL Hardpoint,70,154.8244781,7,13,1,9,8,0,18,14,6,4490,16,2,2005,0,50961.3125,,,,,155,6,0,0,2,1.29
,,,,,,,,,,,,,19525,Mercado Las Almas,CDL Hardpoint,250,198,69,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19526,Breenbergh Hotel,CDL SnD,,,,,111,Dylan,Hannon,Envoy,Breenbergh Hotel,CDL Hardpoint,111,217.3905487,4,16,7,21,15,73,21,23,3,2770,12,9,2247,3,71749.375,,,,,38,3,0,1,5,0.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,229,Zachary,Jordan,Drazah,Breenbergh Hotel,CDL Hardpoint,229,192.4732208,3,13,8,16,14,17,20,21,7,4130,16,4,2519,84,61159.65234,,,,,83,8,0,0,2,0.95
,,,,,,,,,,,,,,,,,,,,46,James,Eubanks,Clayster,Al Bagra Fortress,CDL SnD,38,72.96244812,1,6,1,4,5,0,2,7,1,325,1,1,362,1,22658.98047,,1,0,0,,,0,2,0,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,64,Donovan,Laroda,Temp,Al Bagra Fortress,CDL SnD,70,79.62947083,3,2,0,7,6,29,4,6,0,400,2,1,611,0,27990.39844,,1,0,0,,,0,1,0,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,97,Thomas,Haly,TJHaLy,Al Bagra Fortress,CDL SnD,111,76.72285461,3,6,0,7,4,13,4,6,2,575,3,1,528,0,27958.67773,,1,0,0,,,0,0,0,0.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,522,Byron,Silva,Prolute,Al Bagra Fortress,CDL SnD,229,88.95638275,2,3,1,7,6,30,5,6,2,500,3,1,855,10,27724.88086,,0,0,0,,,0,1,0,0.83
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,38,195.7750397,6,5,5,8,7,0,21,10,6,2775,15,6,2584,0,51311.79688,5,,,,,,0,1,0,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,70,165.8588715,3,6,4,9,6,0,12,10,5,1650,12,0,1472,1,42525.78906,4,,,,,,0,0,0,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,111,211.1281586,5,8,4,11,10,93,18,12,5,2150,14,4,2121,0,54510.64844,1,,,,,,0,0,0,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,229,186.9277802,3,11,4,9,9,21,16,15,1,1750,11,4,1704,0,45277.36328,5,,,,,,0,0,0,1.07
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,38,185.9656219,3,16,6,5,11,0,23,22,6,3720,17,7,2662,0,57420.32422,,,,,72,1,0,0,6,1.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,70,157.2214966,4,15,5,10,10,0,15,20,4,3230,9,6,1782,28,44097.31641,,,,,113,2,0,0,2,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,111,212.8951569,3,16,7,16,16,67,19,23,13,3405,15,4,2620,0,67827.5,,,,,34,0,0,0,3,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,229,167.8266602,7,12,7,15,11,34,30,18,4,4780,23,7,3368,0,52044.5625,,,,,63,4,0,0,9,1.67
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,46,180.4836121,4,15,5,8,6,0,23,20,6,3655,16,7,2752,11,59668.82422,,,,,38,6,0,0,5,1.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,64,170.3991089,3,17,4,12,10,68,21,21,9,3240,16,5,2790,0,54846.375,,,,,39,4,0,0,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,97,183.3409271,3,14,8,14,11,87,14,22,5,2725,8,6,1711,0,55581.71484,,,,,50,4,0,0,0,0.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Hardpoint,522,156.3359528,5,15,3,14,14,0,21,18,4,4450,16,5,2386,33,49596.88672,,,,,130,11,0,0,4,1.17
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL SnD,46,88.77755737,3,2,2,8,4,31,7,5,3,725,4,1,849,3,28736.98438,,0,0,0,,,0,1,0,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL SnD,64,72.98278809,6,3,1,7,5,0,7,4,1,650,6,0,844,1,25380.51172,,0,0,0,,,0,1,0,1.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL SnD,97,72.67364502,3,3,0,6,6,30,8,3,0,700,5,1,741,69,23762.37891,,0,0,0,,,0,2,0,2.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL SnD,522,76.86723328,2,1,1,8,7,0,3,3,1,1075,2,0,407,0,24958.09766,,1,3,0,,,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,46,217.6792297,2,16,5,9,6,0,11,21,2,1450,4,7,1577,1,51378.37891,1,,,,,,0,1,0,0.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,64,182.5427704,3,11,5,8,8,0,12,16,5,1575,7,5,1672,56,48621.75781,4,,,,,,0,1,0,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,97,214.9452057,3,13,1,14,9,44,12,14,1,1325,11,1,1485,2,57168.62891,1,,,,,,0,0,0,0.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL Control,522,197.1088257,5,12,3,13,11,39,12,16,6,1800,8,4,1543,1,49848.08984,5,,,,,,0,0,0,0.75
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,46,183.5149994,3,15,8,11,11,0,19,23,6,2525,11,8,2470,73,55963.88672,,,,,20,2,0,1,4,0.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,64,184.6892548,4,15,6,14,10,76,21,21,5,3700,15,7,2871,0,58337.44531,,,,,80,1,0,0,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,97,205.0490417,4,19,6,19,9,90,24,24,6,4050,18,6,2912,1,63357.62891,,,,,50,3,0,0,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,522,175.8421936,4,15,4,17,11,0,19,19,7,3525,15,4,2314,0,58474.81641,,,,,65,0,0,0,5,1
team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
7,Atlanta FaZe,ATL,69,Los Angeles Thieves,LAT,8641,1670194800,1664399845,3,2,7,69,19562,Breenbergh Hotel,CDL Hardpoint,250,216,7,69,35,McArthur,Jovel,Cellium,Breenbergh Hotel,CDL Hardpoint,35,143.7258911,6,12,2,15,12,0,30,14,4,4260,26,4,3400,0,49240.25781,,,,,56,1,0,0,3,2.14
,,,,,,,,,,,,,19563,Breenbergh Hotel,CDL SnD,5,6,69,7,37,Chris,Lehr,Simp,Breenbergh Hotel,CDL Hardpoint,37,166.0583038,3,14,7,8,11,45,19,21,10,4290,14,5,2595,0,53871.76563,,,,,100,7,0,1,4,0.9
,,,,,,,,,,,,,19564,Al Bagra Fortress,CDL Control,3,2,7,69,94,Tyler,Pharris,aBeZy,Breenbergh Hotel,CDL Hardpoint,94,170.1996918,3,14,6,12,14,61,29,20,5,4435,19,10,2889,0,54464.06641,,,,,51,19,0,0,3,1.45
,,,,,,,,,,,,,19565,Zarqwa Hydroelectric,CDL Hardpoint,169,250,69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,19566,El Asilo,CDL SnD,6,3,7,69,99,Austin,Liddicoat,SlasheR,Breenbergh Hotel,CDL Hardpoint,99,157.3599396,6,17,2,18,12,0,20,19,2,3725,15,5,2428,30,51416.57422,,,,,90,1,0,0,4,1.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38,Kenneth,Williams,Kenny,Breenbergh Hotel,CDL SnD,35,88.44303894,3,5,1,11,9,63,5,8,1,850,5,0,862,2,44555.02734,,1,0,0,,,0,2,0,0.63
,,,,,,,,,,,,,,,,,,,,,,,,Breenbergh Hotel,CDL SnD,37,86.35192871,2,8,0,8,2,31,5,8,0,700,4,1,711,0,46318.9375,,0,0,0,,,0,1,0,0.63
,,,,,,,,,,,,,,,,,,,,70,Sam,Larew,Octane,Breenbergh Hotel,CDL SnD,94,112.060524,3,5,1,5,3,75,13,7,2,1100,10,0,1622,0,63728.47266,,0,0,0,,,0,3,0,1.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,111,Dylan,Hannon,Envoy,Breenbergh Hotel,CDL SnD,99,87.34177399,3,5,0,10,7,46,9,7,2,775,7,0,1213,0,52257.33984,,0,0,0,,,0,0,0,1.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,229,Zachary,Jordan,Drazah,Al Bagra Fortress,CDL Control,35,124.1041107,5,13,4,18,16,6,27,17,8,3500,22,5,3327,0,51460.51172,3,,,,,,0,0,0,1.59
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,37,189.4408264,3,21,7,14,19,36,20,28,7,2525,14,6,2617,1,74274.66406,2,,,,,,0,0,0,0.71
